drafter,split,position,step,acc,sum,total
eagle3,train,3,1240,0.142,2.95e+03,2.08e+04
eagle3,train,3,1250,0.198,3.06e+03,1.54e+04
eagle3,train,3,1260,0.200,3.77e+03,1.88e+04
eagle3,train,3,1270,0.199,3.51e+03,1.77e+04
eagle3,train,3,1280,0.216,2.54e+03,1.18e+04
eagle3,train,3,1290,0.171,2.77e+03,1.61e+04
eagle3,train,3,1300,0.184,2.96e+03,1.61e+04
eagle3,train,3,1310,0.169,3.34e+03,1.98e+04
eagle3,train,3,1320,0.254,2.74e+03,1.08e+04
eagle3,train,3,1330,0.204,3.42e+03,1.68e+04
eagle3,train,3,1340,0.221,2.38e+03,1.08e+04
eagle3,train,3,1350,0.198,3.74e+03,1.89e+04
eagle3,train,3,1360,0.190,3.06e+03,1.61e+04
eagle3,train,3,1370,0.178,2.73e+03,1.54e+04
eagle3,train,3,1380,0.187,2.52e+03,1.34e+04
eagle3,train,3,1390,0.197,2.36e+03,1.20e+04
eagle3,train,3,1400,0.172,2.49e+03,1.45e+04
eagle3,train,3,1410,0.202,3.32e+03,1.65e+04
eagle3,val,3,471,0.100,8.18e+04,8.16e+05
eagle3,val,3,942,0.136,1.11e+05,8.16e+05
eagle3,val,3,1413,0.161,1.31e+05,8.16e+05
peagle,train,1,0,0.00e+00,0.00e+00,1.71e+04
peagle,train,1,10,0.112,2.10e+03,1.87e+04
peagle,train,1,20,0.156,2.86e+03,1.83e+04
peagle,train,1,30,0.223,3.79e+03,1.70e+04
peagle,train,1,40,0.278,5.12e+03,1.84e+04
peagle,train,1,50,0.297,4.66e+03,1.57e+04
peagle,train,1,60,0.347,5.66e+03,1.63e+04
peagle,train,1,70,0.356,6.39e+03,1.79e+04
peagle,train,1,80,0.387,5.44e+03,1.41e+04
peagle,train,1,90,0.390,5.31e+03,1.36e+04
peagle,train,1,100,0.357,6.76e+03,1.89e+04
peagle,train,1,110,0.400,7.52e+03,1.88e+04
peagle,train,1,120,0.334,5.90e+03,1.77e+04
peagle,train,1,130,0.406,5.21e+03,1.28e+04
peagle,train,1,140,0.441,6.47e+03,1.47e+04
peagle,train,1,150,0.413,6.64e+03,1.61e+04
peagle,train,1,160,0.445,5.40e+03,1.21e+04
peagle,train,1,170,0.433,7.66e+03,1.77e+04
peagle,train,1,180,0.436,6.79e+03,1.56e+04
peagle,train,1,190,0.457,6.91e+03,1.51e+04
peagle,train,1,200,0.468,6.64e+03,1.42e+04
peagle,train,1,210,0.481,5.51e+03,1.15e+04
peagle,train,1,220,0.450,5.10e+03,1.13e+04
peagle,train,1,230,0.486,7.02e+03,1.44e+04
peagle,train,1,240,0.468,8.46e+03,1.81e+04
peagle,train,1,250,0.496,6.48e+03,1.31e+04
peagle,train,1,260,0.494,7.44e+03,1.51e+04
peagle,train,1,270,0.506,7.54e+03,1.49e+04
peagle,train,1,280,0.508,9.02e+03,1.78e+04
peagle,train,1,290,0.489,7.36e+03,1.51e+04
peagle,train,1,300,0.513,8.08e+03,1.58e+04
peagle,train,1,310,0.500,7.37e+03,1.47e+04
peagle,train,1,320,0.502,8.30e+03,1.65e+04
peagle,train,1,330,0.485,7.43e+03,1.53e+04
peagle,train,1,340,0.481,7.53e+03,1.56e+04
peagle,train,1,350,0.539,6.45e+03,1.20e+04
peagle,train,1,360,0.525,7.99e+03,1.52e+04
peagle,train,1,370,0.501,7.36e+03,1.47e+04
peagle,train,1,380,0.495,9.14e+03,1.85e+04
peagle,train,1,390,0.511,6.30e+03,1.23e+04
peagle,train,1,400,0.543,6.90e+03,1.27e+04
peagle,train,1,410,0.545,7.09e+03,1.30e+04
peagle,train,1,420,0.509,9.15e+03,1.80e+04
peagle,train,1,430,0.556,1.04e+04,1.87e+04
peagle,train,1,440,0.564,6.66e+03,1.18e+04
